true_temperature_c,decoded_min_c,decoded_max_c,error_min_c,error_max_c,pull_only_error_min_c,pull_only_error_max_c
111.0,108.291783315,113.671860783,-2.708216685,2.671860783,-1.827336567,1.754604153
111.5,108.786273115,114.182809370,-2.713726885,2.682809370,-1.831542142,1.758658009
112.0,109.274741186,114.694509712,-2.725258814,2.694509712,-1.835825359,1.762852593
112.5,109.771512698,115.198704190,-2.728487302,2.698704190,-1.839902787,1.767568192
113.0,110.261363636,115.711011399,-2.738636364,2.711011399,-1.844307906,1.772047306
113.5,110.751234146,116.215558292,-2.748765854,2.715558292,-1.848782404,1.775816838
114.0,111.241479249,116.728529657,-2.758520751,2.728529657,-1.853269537,1.779731587
114.5,111.732128830,117.233053720,-2.767871170,2.733053720,-1.858081259,1.783702791
115.0,112.222488038,117.745816080,-2.777511962,2.745816080,-1.862687675,1.787844612
115.5,112.712472630,118.258534664,-2.787527370,2.758534664,-1.866451559,1.792365701
116.0,113.202483089,118.761327292,-2.797516911,2.761327292,-1.870763073,1.796713251
116.5,113.700595039,119.272296015,-2.799404961,2.772296015,-1.874783587,1.801426821
117.0,114.189703628,119.782594733,-2.810296372,2.782594733,-1.879580002,1.804859630
117.5,114.678021122,120.000000000,-2.821978878,2.500000000,-1.883835225,1.809343092
118.0,115.174018100,120.000000000,-2.825981900,2.000000000,-1.888883848,1.812872741
118.5,115.659949960,120.000000000,-2.840050040,1.500000000,-1.893397969,1.500000000
119.0,116.153765880,120.000000000,-2.846234120,1.000000000,-1.897031279,1.000000000
119.5,116.646306556,120.000000000,-2.853693444,0.500000000,-1.901744851,0.500000000
120.0,117.137619404,120.000000000,-2.862380596,0.000000000,-1.905524381,0.000000000
